wallet,token,roi_percent,realized_sol,cost_basis_sol,avg_buy_price,status,buy_signatures,sell_signatures
FMQJtoYtgA9KW2R8oY5pq9fsjkXnGpnWQKgm72Uhmfwn,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,140.92,77.3157,153.552,4.647e-07,"Partially sold, holding 261355709.8285 tokens",311WPo91W1sN4mbuMWWYiDoFumVtmhCDwnSDGTnjidb3wvgnkGiJxvhcHsDxKvT9pJQE5hwCixkHJ1FkCC9ufXsJ,"2Hz6AZ28TgQdTgn1WQU6nZMqeDtM9uY674ude7EFPCJyRsDb7jvuanNnvHio3AHvBQNgDXDZDTiw7jbKRKc8cDmN, 2tMKxShR4iZZVwUGqofDqfXwDFz181JwbBBujQ3tuTRq3MTJLhBFb5eqmL1Se7EE1zQFqftD9Jb1JQYZ3Dz9cbfC, 57V3kDJvWqGgQyzs8csPYFCtfDfMzfshYt8ze3FY5TEKSWbk9ACMKhEvHYAnx2HtK722QXaJDVNzbsirq9MfUAxz, 3Hbkzmq1vKfNtxYS2DqksiUDQjt1nLSXifeNF9bxhiPf2UbRoYFWqfn7tVAUTxqdPpesAyyBwQnc3nThBmrtMoWN, 44fgUmCPNR2ZE8N2CoX2JzsGP5Vo2UPZF98636Wfmv5dRCUejGjEhCn6d36Y3kbfxiYZVhUjRm3TFK1jgFWrL3aT, 3qgs7SMfed5DrKfZ42NqaCNCUeeFLH8CnqShbYoCxGoXJZHFybN5kwXroRdQyUe2La8ryQiTeAd3ebDeoqMKt1Qt, 2kTWxG13ZaPSqaBhThP1e9a5zpAqz7k1mtHGo61vegzWg5KVqS74YRW3fjKKhvNqaXjvoMZGqRhoJ1pNGykNpS3D, 5g94ghSh8XhnyxwNrSdtsB5z7AB4uuyKfD3edLHnxu7qPmX5tUwj81NKCAkeEsH7dRefCsyAZfQayt5vYnE6FFHD, ZozUh7iwNGc8tiNT2AuGBJch7mJACuLywj4Dco7X9YXQt7fLxbP6fWR94HPYibt88DdaVSuRkv2MJ5ucpC4fLvP, 2Xq89u21HLC3kZrfoxurfjfJW256eNECmcrstZmesgAYbTVvTg4hWrG1sXZtMV8Eq7mUhiB1eydeWUkbVUoiSyhg, 4UkGSbYLfvBxmUznM9YFN4X2j1eEepY429jbREKCDZUtj5SBj64e2JG36VQJkDKvJU1BagU7VvChhQdbaoEDvFgF, 3pvK3x1iXMF2N51hagHPrsisMjuQ1im4PBXFHMx71iHbdDs2XrNXu99bDpitfLmd5tZ8yLChvHWbcySwFHR8V1Yj, 264Wac7F4Lq7QkqE2RaR73CM2AoWoMW5ZQTR1CK9ukf3JMWyHgRCBCGzGwYimnAC5p6vRdm4TLFk5Duthsva59jD, MreCC6GnpxAPfWovAn4KYgruTwVzTLJxS83Du85UvuTpgBS3mYaB6HYRJYXShNpJh7tEUtNQwTt7LxKV16wt2Bg, 61BwGvpq4VPhgnyPhw3Ukp5QPwsnK98AbqeCiVtxZGXF5EoSnLPsZZkSgX96oAkGMR7MrFRvL7tXWXZzrYWHZLTV"
HJunDLYX7DorYYLFPTBy1UR1PYruz7H9k69pcrvaXFQP,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,12.0999,6.716e-07,Holding 18017106.0804 tokens,"2HwiguKYpR9oaYjp4z8tYb3ipWAhnAYEiCtXe56CWm4TiVPpJWf2jmUKzdJ6MAS7FgbxoodobGdu72PP41zxRqTR, 5hQtmN5JUztE5qKNLGMqvyVNJYrbohAbupLFDDvWaNJ2a3hau4AGmtv4kxT9zfbMixQxDmF543uaZ49Nupk3dJUj, 4cVJNdmUGTtyg5VLqZv2KfDHsmmTxUTQA9NFaWkxD9ALitbBz8KmSf1bBanjDAN2u7mry31gpB2BCiQpX9nQXVkU",
DZrNaPmfAEexES9wNGMa4nhemJbXSGzr6o9mJGyuQdpk,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,12.2283,6.899e-07,Holding 17725938.5065 tokens,"2XQFZfG6qG1G9KPovSNDLD6BPJLbThHeKSKqKgv8NXiKsQ143nHJhKWY4eUmodf62kxpUqNYKDcZpwjsuWRK3zFZ, 5CvFNYjkK8N3tRA9YnW9MzC5v7mDr5z9etW6VpiM7H5fhu3fZA4LNgPpoiiCRFnyLtck6cqaJYpAtRot51P81hKk, 61cKAeJbeGSQVxQojn2pDdXArTbFWgUYTUekEvQWnEnc8XWp9dtPTUwoQxyds9BnSpd7LVgDY11Zgc1ukveiub3u",
2rw3Y4az9X3yffbNH7sdn5DdRS9hUT3hgsWpivVV7Qd3,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,20.7352,1.029e-06,Holding 20151341.809 tokens,"3p1A9tgXK7Yk8TrjUsZq7WMiNP48HC9kb2yqtVCydaNqBuG9VSYzhEyRfReuNk4AN7YCKqUsHA29XaPQbs2vW4MN, 2HRj4z8kNRjXzscpbp7gUGVL4A7tes3P28rCWvY8qik4iExs9jTn5Mpg7PoQdER2fHGZzEQHoLjbWcQKLvyNq8GH",
md1Rg598kDXwwC9Y9oWnEbvT9WmEWS9cYHeaceGhvJz,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,13.1192,7.201e-07,Holding 18217762.0642 tokens,"3cEBgkzbFbSnhadA8Zc8PbDWDGyqk9FJCtbVhKBxabCdeYFKv4wS9NS8VP8Y8S64Vazrw2BZSLrzdC9AS3g6N2Nr, 4Rg9tobaWCVuwijLwyY1MiYn12siWYK9b5kGBM2NPbm2NcFmDrH7oFhfudi28s3PTcVjTqd7qRYhaFhUxykgZ9EX, 5xZJaekwLXrEcyeTnnDZuu7CZkQyTxeHeL61WZy7GpANnnwcGKfNebYPDEU5sLB9wwMRwQBxN8jPWzFTU95nzBXQ",
7Yvu1sR9YuNHg54Q2Bp7k8EPwo2a7EwBVSu2FGhD5p95,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,12.693,7.421e-07,Holding 17104432.4075 tokens,"2W32UDy9K2jxUoKjE4EW5NzKe1xRyGeAhtnYhcxRPKi1xCFFArjd2Uk8KEVqckD9C1sCa5msJxoAR3csap9ig6VD, 4k3e5xQf3vj6EbTj8AXPpkjxZjDumo5qjYimWEWLrUTak1TPfRLG2c3FCoy4ZL6oGhEwDWZhBeWjZhyF2GttqM77, W9kLbbM8tdN1ej6BNGbU7QNxJwupb2SBYqLYcX4nVBAEoZXzfZHUYi72CqK7rtmLG4Rssyf6Frmww5pxJwgaVP2",
bfwQ7LGZ1o84EoEU6Z8GDkUKPQSyCk8kW1yWXKDGejG,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,12.2481,7.685e-07,Holding 15937157.6922 tokens,"2L57Evn7QM4ptEXzkQkEvXaKs2dnK55kYYxDDofE6HPcpir4wuYkUPnEYtYF1eTReL2sAY7vAK8yzG1dw4jK6sPZ, 2RhGPvnzuyQcpHqy5M8Xnq2N4Ri85dqK6mg8fNx3vYM4KX6d1njeMhkPvwMKQiSL9SkU3SvmR4PmAMP3HqaBgsWN, 5ZgnKGFxsG622k7T4HfvZcn1LB3K4v7V12JrnAa1Xp2ecVARfFn8ws1U1eQqqqjHujyHGV76ZDTToV73cKjbCsc1",
8P6nCFCtNgU2c5u7begWBopgU5mospRiCwsNsBuKwAAu,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,,0.0,13.6266,7.689e-07,Holding 17721162.1813 tokens,"5boqF5vZz3Lk2utWvddA7iBTDkrbAozqU7CNhzvMgCKcdRCREzGETAPUe4n65M12hE8ysuT3YeJNw7harucXj2YC, 5mGwCBwfwH6wHh89wjst3aFEgTXu3Jv6YzvF8SxuWGYKCPz6i2LuBm2JpzMsJAtXeoByeCEjsBJdEzutHNsRrAvY, 4nAFQnsYtrimqwUwhzpv9k7GkPnZb5Q5J91oEb59L2arjg8bBBbyecY3y8dnxmKxZwiKYW7tN1sUCMovMEZvfQFR",
9tk6koEo2ZwisyFUgcZjt9hkPMfDdj4v5gLSSySvFXcY,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,32.12,7.0052,5.302,7.265e-07,Sold,3Uw41DAdPQ5n4HEtJrnoA5KpkRhXwrjFjkG2taTc3UgpiNXrWzFAy1ToeVB1kTBRukStdaEUN2MLq83JRdi9L6Ub,2zNc95c5vkNqqg7TfZZpQ8jApJru9QsThMdTPRuFNtFq5E7D2x9zsJC29dcRyn3ABuM54d77gSXwYgYCDeXa9moV
H55xJ18p4y1jAjk3a99N4SvaTVprfKtVsoPbMM6NSTB3,FhtWojWXS5U8GmNfo1QEiyxsEpdTZSEj2AA6SnuRtBLV,181.85,14.9438,5.302,7.367e-07,Sold,51MuFFKqHRumUCik3j2P9bqr925edopVdRuMJzaLuDxmvhy46NKmsbMN4yt4JkYF3u21hRJmYHyq7dKer9h9UA7w,3AWsjGGTbwmmfatzircGAcgFjEQVEFHHy2MGiQmisfEGs6w8nbQJC1hckN9c4brhcx8oih1Us1D1cUpzAJpQAHX4
