wallet,token,roi_percent,realized_sol,cost_basis_sol,avg_buy_price,status,buy_signatures,sell_signatures
Fq8UYoZ1obJS4JUVTopoBED4a3ENMTFDvykgbPKDhKeU,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,,0.0,0.0,0.0,Holding 9844315.6617 tokens,"4K3cNrzTbxFKnmKRjLTXudhX1BrASnAe3V7xifg34E2UQYkiGrgNTYBwtcxAJE17xgCNeejsCeQaw8ZS9rhGb1CC, 2xjcQVt2Yk6WK6MBN6TSx6LHm6GJAVMmzmdQtwrrKYZG7tjekn5kLF3eJAhE7pfVJ3CzRo3nLa5X5wfC66YzCcjw",
9gXWpNKzxG2QyvMFFSg1p8RtW79tBvTt3nmA5by1oMez,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,,0.0,0.0,0.0,Holding 7275085.3149 tokens,5ksCzhWf3B3pior5dQFPbupa3g9Fvvn7XTBNvLQ5xPRFyA79RPen5dJY76SsvRRxo9oYsDKMnfsTYpnti7R8BZM3,
5zDu7gG14jouysXu1prUuanjEhu2EkGSsbx5qr14TTgM,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,9039.3,2.1056,0.023,0.0,Sold,3Rs2tvUuisGUMuXDy4jzP4YgdTePUXWGHeGH9g3Zv3Qjr7S28hu79SdRuaKXpyCpiR9HXV5D7KiztDU8vZW3PJ7H,4ZJsNecsjovu2m2Bq3uErqbM5AkY4vv9jRnxQKcDApiu3Zeu4WD6kRvJtrk8Tkr5fi1G3eAyqCHuLUVKcCMRFeFt
YvEsBWpHK5PJ6Q8m4YrocwKeWys1NG67pbgi73UPnuX,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,13451.91,18.2161,0.1344,0.0,"Partially sold, holding 2927453.3456 tokens",3vNamsQdR26jYW7KYsA7k54RVyNW42eBhQeRbMtbRYTEzuXvewkx4dPdbDnKVxe9vfMhBryJ8TywmEXwQ9UTWxN8,"5dRtfjy86meXNsEM5MfPxRwYK2EaWATtcT6Nw1cf3hVd7U6BsrkovNk1Dv8yGABpE1HQcv6Ppm66Ffu8otCDyYaB, J7ZsMYCPaXAFDo4Hr688tEa8nUSdLkXDaVRsefDgo6iGaC4KcqXB4mLAwZ9Rg7DoAqycB4oSMRYgvGZnrrdAtkQ, 2xkV2pTTRqBTi1wmTpETCjQDg5qDh1Tggf8NgXNibXkdyDDaHedUK3YYaE9dyd7wWo7PsTux9H92ho6gNMkLWPXK, 4ZoT1pFvcdxpFsLixRnauZyLkTs9vkSCrQAbWNhTGHDr9cuJuCwPiDWVq3nUU43Mh7H58GPVmg13gdW1aVPVKAzF, 59ZF5aieacwiyoZjidTzA9V8QR2mN8X8sVEsHL7cWDRHoMbV7SjiiLYS2u88xzPQFQNQEEnzpveu9xNLCKVbjhn2, yr28F51S3c1tSUju3mBy7a1pW63Sfu4v8K9BxKxtRrNnnnSajZPwNWpgTP5EhMQZJyppnUXiYdSLxXjRChRbYKF"
3YUHSm1zkQwaBhH9kWKhLd7Yg7czdaY14VPMEWNuEZKz,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,20966.78,6.9603,0.033,0.0,"Partially sold, holding 0.0 tokens",2zQmNpP2g17VLJeDbf7C6uUHjSL6BxDb9qREBWWDdQ6j6kwzvzSDrCGoiRXbnbRNn7MYY6V8LLdgWHiNJzqY6Cv1,"4B4nceYFkJyJGRKmzyaiCmiNsNGkCAUZfCN3mq5MNwQyZ2zEPNUrRkf1PQZR8beKLKjnDEXAPM4oxtM45CMfP6As, 4S5MeHH7phQsrzQoz5qBwhE4ZKPnyvnpprMbPhDrFTLNPUDbiSpmCkW469aMHAtpmFFAMJBvX5ar6FHM4kSrjBAW, 2wXquST8hzFCS2ZaiQzs3EMm54ULG5rR2yKgn6HCk2CR6gitCiXBamNVgDB1XZW3WLij5J6weLSeDQ2fewzzFN8R, 3M8U1J63b2nfdmGtYkj93Zs4JRp9bSV9w2B7cstFNFyGFWCBw3qJnPPHLK4RYFQMnH2B9iKLr4x89rBJ2M9pjpVF, 2nhVF5chJFUgaZzKVdsDkzV6W85GtW3Yk3rFjakAZYiPSvE4xXPESxbHRXxEfrT1xP5yrrXiEZUkWcpUSz1jm6vF, 4T6Qph179oBsh4shAphrgMR7gyGtS9fkzzusX69gzkDF16WQqtEqTQj7VU3fcnVMcbY8xk6ovt6c15p2EHw9gS8U"
HsyYnsqPHmdPar9MJ3Dyav9nTbzPUg31Z14iywELeLet,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,24099.54,11.7233,0.0484,0.0,Sold,UXiFbyzFEyoiHJiQSdBEvNM4ePHuSDQun9JVXP3XHL8uaNVh1zfBLeTtcbSjj6DnxSooGLFMKAHTTnK5cDNkR75,"28EetstqLAHtZsqUvNsS3jaBX9LEdvyc3wzzzjCWaky2mhjNebj9FwExPs5ra86EY5SRJApEghksFvvLBwyXFUWL, 3STxAzRZjz4wXKLFsvTZrgvHuPSMvYzpJotKDsRhx69febckmAUsrrbsBgAQ2k4utnPfKA78Jmy3dGBtyeEAxGLU, 3SEmqPn1wpELgen1UmWM3PfHdk5JJAJgqmGmZGFpqCAKWoAuepL5MhnKVityZJGNK3YsDxbbhzudi6FnNGJ8RawX, 5jcdZ2e1ABcwxbVggHu9BMrmNsntJUTUAdmAjpvyewtgWn6jMnANFFggwxaZE4HfmtoPa2R89GNqEgVfGi2b3V6m, 3RMF5CdzRsrUXmxSAdNGAg6bdo4WQM3TVuRLbe8UVemDGqY66v2s5QtkmDeQomim1JVWhLAH1XyYsNRWdaa4G4Q3"
GMy4aKWrjgZi4ehkdcKGMnUgQHYEU8WaV7LZztvBk1G2,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,22369.09,10.703,0.0476,0.0,"Partially sold, holding 0.0 tokens",kCPAX7mTKmnHtV7mcjG1xVsPUC9wvgxzLq2G1RJNJRuGDsY92mrYdBnWQX2CHxQkAA5PNA7bgT4EynuWp2Qd11N,"459XzNgp3dwApHBEWxnMEFBDZntmEVggQ4f7nhtqSFssihheGvHZE1MqS93UfA29s4FQMUzn3CEcLMhUvYWmfhFg, 3eHJGtSanHLiGLjtZ9UF4GjBgLqJxWnmVmM8SAAc8cBnT7vtqkjfPcVPgo5TxkNoHwzmyFNdAJmCGiwM8BNZuBs5, 3davW9mPeqchmovgNV7eQ1WzpYXQNeDyWSBw22eEHu9sehXMQ4C18qzK4i6Lf6Yorn1H27KyqBGSRQzgbjLMBWkA, 58GrU766Gez5CXHPxcs4jjuCCKgTtHP21p8jBsRQMLrn9E4zfFxC2SSp3Z11xwwpUqSq5QcwcRXbtMTmkL7j1pkB, 3Dr5VpN9shKsLXHDvGAKLmtQzXzq1iW3vKjFkigcyHEFv3nRHp2vV3p3PMZZoMyw4oRCBxcFuuoi8CrZdBeUKhw9"
2gwUAzaxXeNXFRVvTGLnSq5Qhyv9ZHuBMBS2Xx3Y5nND,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,26278.21,8.0487,0.0305,0.0,"Partially sold, holding 4418769.7238 tokens","3gmEj6wgEoa4QMBYPz9g7NyvWSAeDwEkUgs9E9yDUMpkAZP4s4p5dmq8QPff11NEXtLJbBLWv1agaReHS7WV8uS, 5JdrX321U7acEzGcFmEvKW8zXvRNMwisRtmGjchSNuhZ8EzLMiGughhCxnpPB3zJG5W3r1GZCHk8WaatC45fkRN8","3wgAjtJWtmhSqyrWX8yeXj4nKwyLpLKBdUZ7yQQkejSAU4ThE6sCor6JLoExXUDVYgQVd7FbSmypQErm5yjibMzn, 4zYv23bRfqdfDFJepBMXXQNqvPra7TcQNS7m4pu5cfiVL7F8qYdKrySwH3GweogfTNgPnn5yWhJk7UG3ifhTDXwN, 4HEQiTu1yRSTftK1QnYA8EGqXB1FzdD51b3behaRzkijycfT3GadPB2Pr5qhcHGXFimfXdZryzTowDc4emAr2RFg"
9GQnBM6WiQzDPtwbWKa742D5Y7HZXcjZmVwUwb5Kq91s,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,11741.02,5.4752,0.0462,0.0,"Partially sold, holding 3403746.6423 tokens","4BHcDi2hjLtFNQLkDQvE893MiUogP13W4WVGUscixJKbEves73xUpb4whZ8G24rchwiqV5e43RUVcVowAQvVRHke, DpuoZtWYCK2qCC79KbgTUqPLrwkSoakVzeqW6Z4A9e6xxmtrQ3WaKRB8zb5WbUZrUD49JabtEaVJcVmhXDcTw6A, 3Fng3CqNfoc42jcbHXchR6BGSn7icSXcgaHv9QayBVsQygXStLRkiFF4B9RwtWP3G9ddTViAC9Qqg4WcwJPUZtAi, 51MHMqQkMpVTdV67KLvcDpGDa5BMTZizrUcQhbJbRQHBKra6AprXzMzpDiHvzHZ3otpDM5FsJHn51TnHJgw9rfj5, 5SLx7YjhTd3nQbLjJhYZRdpSGhhBbQNfevQsxZaPoT1UVUdPWKFGvVijoozVSGbzFuiocVvRFvxNbXx317GB18xL","27oeRhryW3v7RcitejZanvakCC3H6KVPyEC91JtCQDMTqP4p8PgetCevhFie2EdTVSyaEkpAdRi33hfWuNvbTVjC, 5QrWfLBPPBusicn2RQdrJxhdqWY2c2mSRtV5jTKvtpGWPJvxzfCQ6ayJ7Xv86KNAqSVjmMvCG8HhccTtzyBUXpdV"
DYmsQudNqJyyDvq86XmzAvrU9T7xwfQEwh6gPQw9TPNF,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,29881.51,9.4501,0.0315,0.0,"Partially sold, holding 3692973.0702 tokens",638cejtrqzLxQ8Umfq2LDvs3xpbm8DQL6UAZTDTwV21dUToYVkosmxTuAaws9fSaLMT8CDEeFFC3wdqkLd1ofLXy,2jURKf2pWyRqjo7tLrzP6WLAdgQHJof9B2GaFP5q68XNcrMvo5ynatmzV6xC7ZcBrLRhKY16PvC3u1TA1ayj2kXj
